seed,seed_idx,fold,auc,precision,recall,f1,threshold
42,0,0,0.9326874999999999,1.0,0.575,0.7301587301587301,0.5
42,0,1,0.93806875,1.0,0.6175,0.7635239567233385,0.5
42,0,2,0.9607312499999999,1.0,0.47,0.6394557823129252,0.5
42,0,3,0.9591250000000001,1.0,0.4475,0.6183074265975821,0.5
42,0,4,0.95754375,1.0,0.645,0.78419452887538,0.5
1042,1,0,0.947678125,0.9870550161812298,0.7625,0.8603667136812412,0.5
1042,1,1,0.95760625,0.9930555555555556,0.715,0.8313953488372093,0.5
1042,1,2,0.9567781249999999,1.0,0.6225,0.7673343605546995,0.5
1042,1,3,0.9603,1.0,0.6325,0.774885145482389,0.5
1042,1,4,0.96386875,1.0,0.665,0.7987987987987988,0.5
2042,2,0,0.954975,1.0,0.5225,0.6863711001642037,0.5
2042,2,1,0.9642250000000001,1.0,0.665,0.7987987987987988,0.5
2042,2,2,0.972325,1.0,0.6625,0.7969924812030075,0.5
2042,2,3,0.94430625,1.0,0.645,0.78419452887538,0.5
2042,2,4,0.9577375,1.0,0.68,0.8095238095238095,0.5
