sweep_type,auc,precision,recall,f1,n_samples,snr_db,class_counts,covert_amp,pattern,doppler_scale
snr,1.0,1.0,0.8914473684210527,0.9426086956521739,768,5.0,"{0: 464, 1: 304}",,,
amplitude,0.8224634906045751,0.0,0.0,0.0,1120,,"{0: 576, 1: 544}",0.1,,
amplitude,0.9970386646412037,1.0,0.0234375,0.04580152671755725,960,,"{0: 576, 1: 384}",0.3,,
amplitude,1.0,1.0,0.7157258064516129,0.8343125734430082,960,,"{0: 464, 1: 496}",0.5,,
amplitude,1.0,1.0,0.9791666666666666,0.9894736842105263,960,,"{0: 384, 1: 576}",0.7,,
pattern,0.979264101473923,1.0,0.5317460317460317,0.694300518134715,2016,,"{0: 1008, 1: 1008}",,fixed,
pattern,0.9246024648803329,1.0,0.3951612903225806,0.5664739884393064,1984,,"{0: 992, 1: 992}",,random,
doppler,0.9468583540482954,1.0,0.428125,0.5995623632385121,1344,,"{0: 704, 1: 640}",,,0.5
doppler,0.942354562535451,1.0,0.46075581395348836,0.6308457711442786,1344,,"{0: 656, 1: 688}",,,1.0
doppler,0.9679908389136905,1.0,0.5014880952380952,0.66798810703667,1312,,"{0: 640, 1: 672}",,,1.5
