sample_idx,label,doppler_hz,insider_mode,power_preserving,power_diff_pct
0,0,-252729.88580158728,ground,True,1.8470731196413892
1,0,-198284.53726491242,ground,True,0.9116028155098097
2,0,11302.890067958933,ground,True,1.3671022171461518
3,0,-9091.580329808154,ground,True,1.459849945858522
4,0,-1273.7245293515498,ground,True,2.0189918394620547
5,0,-527425.6458972816,ground,True,1.7340868794666686
6,0,183217.13346223906,ground,True,3.092478685329004
7,0,528120.9917028095,ground,True,2.0891661883625323
8,0,556331.5612169015,ground,True,3.1971598654623805
9,0,380582.2573041937,ground,True,3.135629426529619
10,0,-621865.8031261036,ground,True,1.5214491810506539
11,0,526549.1566315397,ground,True,2.6906052499833257
12,0,61892.6804170397,ground,True,2.058068864589562
13,0,630342.727365398,ground,True,2.0944984489234213
14,0,349390.27318064985,ground,True,2.9002904765719575
15,0,-66152.33779801591,ground,True,1.665785083770443
16,0,-430589.98940878734,ground,True,1.979326120606158
17,0,525370.8602877223,ground,True,1.8437028149922703
18,0,199450.0485667103,ground,True,2.8218932127718572
19,0,423168.87182457285,ground,True,1.6549919344648198
20,0,279061.1349249426,ground,True,1.1876835471460756
21,0,168457.82358157515,ground,True,3.3998554704328816
22,0,-636200.1464906661,ground,True,1.614909984299318
23,0,411681.43405204697,ground,True,3.775818638634564
24,0,-348253.66578289954,ground,True,2.6988908975053305
25,0,12872.836100154356,ground,True,1.3715159136339234
26,0,-302363.64647739107,ground,True,1.9975217032638426
27,0,409639.69932533585,ground,True,2.5491723600278426
28,0,398031.5675926428,ground,True,1.4884994106227125
29,0,504452.2411057948,ground,True,3.2768928149358687
30,0,215567.90858530402,ground,True,1.8290281233800887
31,0,35088.203697936384,ground,True,1.146796004426495
32,0,23367.482011426608,ground,True,2.187488563016091
33,0,534347.8632779588,ground,True,2.146699512798158
34,0,-159764.2699787207,ground,True,2.2623409121480322
35,0,-99884.08732701452,ground,True,1.2385279526989696
36,0,-346557.8051768585,ground,True,1.6023646156919369
37,0,-83582.6695122403,ground,True,1.193335164638306
38,0,-192894.6107135054,ground,True,3.3932496474815457
39,0,-258439.07284966437,ground,True,1.98181904033257
40,0,144533.04212911119,ground,True,1.8400011268369347
41,0,340972.86603611085,ground,True,2.4096966573037655
42,0,454228.10581340996,ground,True,2.2808420241663185
43,0,695014.2129383686,ground,True,2.0711669965958177
44,0,-418061.16482424195,ground,True,3.1861783830671895
45,0,636879.2441731468,ground,True,2.7036790015220964
46,0,-380474.37401248526,ground,True,2.0321424989466106
47,0,690311.9284675317,ground,True,1.7909831757056571
48,0,-367761.3612707879,ground,True,2.2066204535235707
49,0,-616805.045585162,ground,True,1.842543512673983
50,0,508829.01639769063,ground,True,2.667640739903345
51,0,-104347.3908564242,ground,True,4.085591641514444
52,0,71008.28492022988,ground,True,2.1962838783641905
53,0,-336175.14284582494,ground,True,2.391839317884937
54,0,531829.8586550447,ground,True,1.1411057391774855
55,0,-666024.4846720181,ground,True,2.1580355958599227
56,0,-327911.48971153103,ground,True,2.7479206325491683
57,0,-498470.6402422523,ground,True,1.5010403612525318
58,0,199012.27111837812,ground,True,2.4239736542131274
59,0,527958.6502901351,ground,True,2.0678784840687343
60,0,-423087.75901079027,ground,True,2.0651027840406435
61,0,543470.7599116998,ground,True,2.1794096360828963
62,0,-660926.1542880059,ground,True,3.3370281512603723
63,0,-46105.134983437965,ground,True,2.054085220967494
64,0,147465.31976963644,ground,True,1.2859522557729053
65,0,258429.127082885,ground,True,2.921422371866713
66,0,351875.10944966425,ground,True,2.92215942541609
67,0,-635285.6527177009,ground,True,1.8040814897674857
68,0,179886.95587971143,ground,True,0.8812106885284231
69,0,623889.7198351116,ground,True,2.4673537129281864
70,0,-515962.8850909603,ground,True,2.4033195816608224
71,0,282161.6129522076,ground,True,1.7365658816373812
72,0,423229.51766884094,ground,True,0.3823660105172722
73,0,494337.0405808781,ground,True,2.9787424929478252
74,0,-641258.6991738591,ground,True,3.146592483074695
75,0,-65137.87859624354,ground,True,1.0478356396254325
76,0,42169.06953158876,ground,True,1.815960956333517
77,0,661028.5900317662,ground,True,2.1611216402147018
78,0,-533897.4805978077,ground,True,1.8131290056566143
79,0,246910.02542855023,ground,True,0.9358004789411863
80,0,410914.61863839586,ground,True,3.356029099130447
81,0,-678274.1632117715,ground,True,1.9912098774728346
82,0,-43212.36916941425,ground,True,1.1712074082601014
83,0,622680.3910619703,ground,True,2.150154364135676
84,0,378492.91224300495,ground,True,1.3866308946790034
85,0,277422.99100386474,ground,True,1.933068197765702
86,0,9689.633591727383,ground,True,1.7855421566146377
87,0,-268906.4897242072,ground,True,1.6862310674435992
88,0,156611.3252691372,ground,True,2.2277374659765243
89,0,-342192.9135514762,ground,True,2.2020429339266636
90,0,-487606.9792044568,ground,True,2.665005824823145
91,0,-250017.9806768925,ground,True,2.026731491921742
92,0,-77241.20135120624,ground,True,0.28520600331933393
93,0,-448368.96321941895,ground,True,2.6994049809370315
94,0,636455.0064463689,ground,True,1.5793615805600574
95,0,163300.18619622555,ground,True,2.255941697454934
96,0,-18842.948749834934,ground,True,1.6949957041879669
97,0,-351591.94236103323,ground,True,2.6283657262190223
98,0,228586.36297252623,ground,True,1.905954892425291
99,0,166811.3943166892,ground,True,3.1610031395031672
100,0,-29354.020811131602,ground,True,1.882951698190257
101,0,-514019.7807302724,ground,True,2.842477872940356
102,0,-307035.2861442816,ground,True,3.6706522161016886
103,0,-565489.4191357996,ground,True,1.415805174874895
104,0,-97448.45296488133,ground,True,1.7838373986748928
105,0,-44587.65433946826,ground,True,1.9647138376971767
106,0,628904.8445231023,ground,True,2.763089676592879
107,0,618038.1009797236,ground,True,2.382704656591137
108,0,590302.97926965,ground,True,3.1733372520607874
109,0,-380705.3491988293,ground,True,1.991115591213356
110,0,-52484.66546939579,ground,True,3.000246117105671
111,0,102831.752109339,ground,True,2.484516094986532
112,0,-96746.58494095298,ground,True,1.902075839442391
113,0,-217473.11384507615,ground,True,0.3068209133636837
114,0,300692.6136579583,ground,True,2.162091284952411
115,0,-533148.4644536948,ground,True,2.7978506156923464
116,0,417240.44313600025,ground,True,3.1014874292522756
117,0,611058.1375746749,ground,True,3.833870189627776
118,0,-164498.92514688522,ground,True,1.5981144884820027
119,0,-239648.51349780333,ground,True,3.759864945581784
120,0,98567.14876739988,ground,True,3.493510859689277
121,0,449187.89747937967,ground,True,1.61250259240052
122,0,-409886.64527405845,ground,True,2.6176060943718293
123,0,395682.457625702,ground,True,2.316779063762559
124,0,-678445.936650327,ground,True,1.9571196177639743
125,0,-558534.5598961042,ground,True,2.4847273161267913
126,0,-624603.7953129584,ground,True,3.3848871304137025
127,0,186991.8914708931,ground,True,1.7019360764913818
128,0,654327.7751127593,ground,True,1.6360775042474973
129,0,631145.9317548147,ground,True,2.437722294912919
130,0,288883.7863503675,ground,True,2.0456418927716458
131,0,629492.2607309809,ground,True,3.016895919650514
132,0,239606.9782698628,ground,True,1.9649377724700559
133,0,-493870.8656903172,ground,True,1.8400011268369347
134,0,-514855.92524160247,ground,True,2.771240300533263
135,0,-304919.68911422207,ground,True,3.1060019175201825
136,0,-485082.95974182244,ground,True,1.5881924340206015
137,0,-346665.33082238183,ground,True,1.8536756489397783
138,0,187278.71584193484,ground,True,3.6707194766693068
139,0,-28269.16016744156,ground,True,2.4802211284841094
140,0,-33635.994650084445,ground,True,2.2101050183500406
141,0,-205401.57621265764,ground,True,2.204663309007838
142,0,-147808.0834381992,ground,True,2.0843626540597904
143,0,-8871.783396324809,ground,True,4.471786067535449
144,0,-259034.10439632574,ground,True,1.9896614055906463
145,0,180001.36054582254,ground,True,0.9523034878922926
146,0,-598330.2100223176,ground,True,0.7912136756260532
147,0,447557.9785734453,ground,True,1.3020224680549781
148,0,-688167.3795538434,ground,True,2.338691233723464
149,0,523794.2395271667,ground,True,3.088715951020353
150,0,-77673.53459444908,ground,True,2.218187805131392
151,0,383796.01436705457,ground,True,1.7519738296028475
152,0,444755.5592988961,ground,True,3.368090261554143
153,0,438430.5795527453,ground,True,1.8314783477851253
154,0,291386.13277674874,ground,True,1.640738824484553
155,0,500149.2970637925,ground,True,2.0500637635983994
156,1,658488.4647625976,ground,True,6.1678821240722375
157,1,-78255.16084685718,ground,True,0.2691746859307032
158,1,-250597.03981339338,ground,True,0.8471142829172372
159,1,620564.1188072601,ground,True,6.530306262150354
160,1,-467382.58703022375,ground,True,0.1469538714319782
161,1,-101731.09330191679,ground,True,0.7767879773859319
162,1,-471646.66773886204,ground,True,6.234306229327415
163,1,-138504.67355536117,ground,True,0.17319663266937121
164,1,674318.7459452284,ground,True,0.8059183259437376
165,1,120114.54492885059,ground,True,6.358359234692378
166,1,-185701.10687622768,ground,True,0.1763744670379618
167,1,-329374.06860137376,ground,True,0.8184849856399149
168,1,-16941.50228880643,ground,True,6.700062647443035
169,1,289337.57448882115,ground,True,0.2255237293838463
170,1,-16624.42350103476,ground,True,0.7829167554396231
171,1,-293173.60845903563,ground,True,6.024765515975545
172,1,-416052.03030397726,ground,True,0.13631138800402975
173,1,534044.3877189211,ground,True,0.9136568173710637
174,1,491992.6593132491,ground,True,6.690614417949904
